"ID","File Name","Command","Link","Alt Text","Created At","Type","Mime Type","Width","Height","Duration","Status","Errors"
"gid://shopify/MediaImage/16269564969135","ST.Kenyaea1_22969311-a97f-4de4-95b2-dedc00d43dbd.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Kenyaea1_22969311-a97f-4de4-95b2-dedc00d43dbd.jpg?v=1750439456","Kenyan Black Tea","2020-12-07 17:20:52 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16269649281199","ST.Tempeen1_800bd919-acce-431b-b971-a755ebd43299.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/ST.Tempeen1_800bd919-acce-431b-b971-a755ebd43299.jpg?v=1750439426","Chinese Gunpowder Green Tea","2020-12-07 17:23:23 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16269674184879","BT.Pumpkck1_7d56516d-7078-4a77-81d6-0b2e668f9982.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/BT.Pumpkck1_7d56516d-7078-4a77-81d6-0b2e668f9982.jpg?v=1750439446","Pumpkin Spice Black Tea","2020-12-07 17:24:08 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16350543904943","GT.Culinha1.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/GT.Culinha1.jpg?v=1750439372","Culinary Matcha","2020-12-09 21:49:40 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16350853628079","SUPREEM-2.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/SUPREEM-2.jpg?v=1750439371","Glass Teapot With Teapot Warmer and Candle","2020-12-09 22:56:12 -0800","IMAGE","image/jpeg","1024","683","","Ready",""
"gid://shopify/MediaImage/16482799943855","IMG_5099-3.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_5099-3.jpg?v=1750439369","Organic Cleanse Tea","2020-12-22 17:14:34 -0800","IMAGE","image/jpeg","3086","2469","","Ready",""
"gid://shopify/MediaImage/16482801942703","IMG_5091-2.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_5091-2.jpg?v=1750439368","Organic Daily Detox","2020-12-22 17:14:59 -0800","IMAGE","image/jpeg","2195","1756","","Ready",""
"gid://shopify/MediaImage/17488441901231","IMG_6418.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6418.jpg?v=1750439367","Organic Beetroot Powder","2021-02-12 01:52:05 -0800","IMAGE","image/jpeg","2007","2007","","Ready",""
"gid://shopify/MediaImage/17488447996079","IMG_6408.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6408.jpg?v=1750439362","Organic Black Pepper Powder","2021-02-12 01:52:36 -0800","IMAGE","image/jpeg","3456","3457","","Ready",""
"gid://shopify/MediaImage/17488461398191","IMG_6402.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6402.jpg?v=1750439358","Organic Cardamom Powder","2021-02-12 01:53:56 -0800","IMAGE","image/jpeg","2233","2232","","Ready",""
"gid://shopify/MediaImage/17488786161839","IMG_6397.jpg","MERGE","https://cdn.shopify.com/s/files/1/0506/6965/0095/products/IMG_6397.jpg?v=1750439352","Organic Coconut Milk Powder","2021-02-12 02:17:09 -0800","IMAGE","image/jpeg","2908","2909","","Ready",""
